date,Trips_Over_Past_24,Cumulative_Trips,Miles_Travelled_Day,Miles_Travelled_Cum,Total_Members,Member_Signups,Hour_24_Pass_Purchased,Week_Pass_Purchased
5/27/13,6050,6050,0,13768,16463,2042,0,0
5/28/13,6539,12907,0,32265,19389,2601,0,0
5/29/13,7573,25619,0,57597,21300,2168,0,0
5/30/13,10099,30988,0,85585,23749,1997,0,0
5/31/13,9338,40524,0,118781,25276,1630,0,0
6/1/13,8628,49287,0,154210,26000,519,1142,0
6/2/13,14933,65803,47727,201937,27661,1495,3410,213
6/3/13,9904,75707,25086,227023,29156,1363,1378,207
6/4/13,13047,90101,36433,263456,30520,1477,1903,336
6/5/13,16396,106497,52878,316334,32033,1530,2442,280
6/6/13,16720,123217,48489,364823,33367,1334,2440,267
6/7/13,5200,128417,13939,378762,34452,494,417,61
6/8/13,11432,139849,28160,406922,34946,783,2528,138
6/9/13,22399,162248,69363,476285,35879,1062,4524,242
6/10/13,11268,173516,34497,510782,36809,791,1320,146
6/11/13,8482,181998,19042,529824,37604,817,875,166
6/12/13,16475,198473,43704,573528,38537,911,2086,284
6/13/13,13542,212015,31670,605198,39272,637,1427,191
6/14/13,12511,224526,26380,631578,39898,636,1383,173
6/15/13,22298,246824,55019,686597,40467,623,4125,283
6/16/13,25119,271943,64059,750656,41148,839,3813,280
6/17/13,18699,290642,40017,790673,42217,1023,1868,385
6/18/13,21184,311826,43588,834261,43130,830,1871,459
6/19/13,16342,328168,31505,865766,43949,829,1372,370
6/20/13,27422,355590,56269,922035,44783,801,2420,498
6/21/13,30187,385777,61800,983835,45548,791,2746,415
6/22/13,30291,416068,71932,1055767,46259,633,4478,388
6/23/13,30427,446495,75236,1131003,46840,755,4095,302
6/24/13,24253,470748,49867,1180870,47847,932,1776,289
6/25/13,27717,498465,51303,1232173,48605,780,1539,346
6/26/13,30526,528991,55390,1287563,49422,750,1677,314
6/27/13,30238,559229,58402,1345965,50150,690,1665,262
6/28/13,27358,586587,52525,1398490,50780,690,1718,236
6/29/13,31464,618051,70451,1468941,51454,674,3358,314
6/30/13,28554,646605,65747,1534688,51930,476,2926,180
7/1/13,18997,665602,39661,1574349,52550,620,1176,115
7/2/13,24552,690154,47377,1621726,53032,582,1154,224
7/3/13,27678,717832,50961,1672687,53549,517,1255,197
7/4/13,23639,741471,55316,1728003,53897,348,2384,229
7/5/13,25353,766824,58738,1786741,54308,411,2451,177
7/6/13,24040,790864,54810,1841551,54646,338,2330,172
7/7/13,22806,813670,52185,1893736,55012,366,2117,163
7/8/13,24105,837775,45419,1939155,55623,611,1302,251
7/9/13,26232,864007,51562,1990717,56312,689,1190,302
7/10/13,28582,892589,53865,2044582,56926,614,1129,232
7/11/13,30348,922937,57100,2101682,57451,525,1266,210
7/12/13,28142,951079,57256,2158938,57954,503,1349,155
7/13/13,23929,975008,51879,2210817,58304,350,1977,169
7/14/13,30865,1005873,72093,2282910,58685,381,2607,200
7/15/13,29961,1035834,57940,2340850,59377,599,1464,213
7/16/13,33394,1069228,60158,2401008,59952,575,1075,254
7/17/13,33996,1103224,61067,2462075,60454,502,1131,202
7/18/13,33641,1149531,58918,2838487,60897,443,931,150
7/19/13,32445,1182007,55058,2893546,61285,388,1179,156
7/20/13,30713,1212720,63311,2956857,61561,276,2080,180
7/21/13,30568,1243288,67442,3024299,61886,325,2414,155
7/22/13,30839,1274127,60228,3084527,62423,537,1350,192
7/23/13,30710,1304837,51340,3135867,62894,471,848,172
7/24/13,38509,1343346,71474,3207341,63360,466,1282,198
7/25/13,38109,1381455,68689,3276030,63731,371,1254,170
7/26/13,38250,1419705,68243,3344273,64097,366,1402,160
7/27/13,38593,1458298,83035,3427308,64396,299,2972,202
7/28/13,32666,1490964,72085,3499393,64718,322,2372,150
